SONG_NAME,SONG_SINGER,DURATION,SONG_YEAR_RELEASE,SONG_LINK,SONG_GENRES
Kimi no Sei,the peggies,263,2021,https://youtu.be/KbT3JsJmd14,Anime
The Secret About That Girl,Eve,232,2017,https://youtu.be/sgdPlDG1-8k,Japanese
Kono Hoshi De Tada Hitotsu Dake,Fate/Grand Order,296,2021,https://www.youtube.com/watch?v=oZ_0rDvP56M ,Anime
AVID,SawanoHiroyuki[nZk]:mizuki,250,2021,https://www.youtube.com/watch?v=u0CqY27IFyo&ab_channel=AniMelody%E2%80%93AnimeMusic ,Anime
青嵐のあとで,sajou no hana,250,2020,https://open.spotify.com/track/6WZj8kqA0XQ0L0SvBbbvkb ,Anime
雲雀,ASCA,277,2019,https://open.spotify.com/track/1clWKEbxOHoJytuATdHJeU ,Anime
Ao No Waltz,Eve,277,2020,https://open.spotify.com/track/1AfFUID69eG8hOkkc3asNM ,Anime
Share the light,Run Girls - Run!,245,2019,https://open.spotify.com/track/1Rcu3RBBSWWYSMCSfULM63 ,Anime
ステップアップLOVE,Daoko,256,2017,https://open.spotify.com/track/2qdkg8NGkGhukt8UQcVYci ,J-pixie
シュガーソングとビターステップ,UNISON SQUARE GARDEN,253,2019,https://open.spotify.com/track/6uR92injo4PDzSrOPRFfHt ,Anime
fake town baby,UNISON SQUARE GARDEN,263,2019,https://open.spotify.com/track/69U2Iv4hyQi3cGCEJ8LM0H ,Anime
Hello-world!,BUMP OF CHICKEN,248,2016,https://open.spotify.com/track/1YqVJ2YSgwxWpfuENocF2t ,J-pop
コラージュ,Sangatsu no Phantasia,269,2018,https://open.spotify.com/track/20wPmfNylCoyAEW53d2w3E ,Anime
Being low as dirt- taking what's important from me,TUYU,192,2020,https://open.spotify.com/track/1LNGuCg01CHg9ErApmz92R ,Rhythm game
だから、ひとりじゃない,Little Glee Monster,231,2018,https://open.spotify.com/track/3zQGFO31x6LEuRpCPNjBGQ ,J-pop
HEROES,Brian the Sun,181,2017,https://open.spotify.com/track/4grrgOFDvIVvw807GmqT1X ,J-poprock
空に歌えば,amazarashi,217,2017,https://open.spotify.com/track/6wZcefZGc6vrd3zLCQoOYe ,Anime
だってアタシのヒーロー。,LiSA,234,2018,https://open.spotify.com/track/1htJGL473Dub5QGKecXi9R ,Anime
足跡,the peggies,227,2021,https://open.spotify.com/track/4k5g6HNKtrWbYDllw2Dyp0 ,Anime
17才,HARUKATOMIYUKI,271,2018,https://open.spotify.com/track/2vBKGYJtf6VMG6pZccp4xf ,J-pixie
hide-and-seek,AliA,297,2019,https://open.spotify.com/track/04Gck6fVRs2rgxcdN8UrRY ,Anime
オンリー,大原ゆい子,230,2021,https://open.spotify.com/track/0bzJSr8vU8yO6Fzy5XJS53 ,Anime
PARADOX,Amamiya Sora,254,2020,https://open.spotify.com/track/1yyCK06zEaRQQwKBjh87Ji ,Anime
逆光,Maaya Sakamoto,288,2018,https://open.spotify.com/track/4G60bHjDnAihnuswrq7tk3 ,Anime
プラチナ,Maaya Sakamoto,250,1999,https://open.spotify.com/track/55VpwoQcMWJxXuqqtH6hUY ,Anime
Dokuhaku,Maaya Sakamoto,283,2020,https://open.spotify.com/track/0rD5ZLKWRGWVhV9rOdIz7y ,Anime
アイデンティティ,sakanaction,253,2018,https://open.spotify.com/track/5VTmAV2CWq0RuYulmNuVeI ,Hokkaido indie
Shogeki,Yuko Ando,181,2020,https://open.spotify.com/track/5QwAdWCnauw0GpDzM3glrO ,Anime
旅人の唄,大原ゆい子,264,2021,https://open.spotify.com/track/4qQTqlOWCftZYufh9uUzO9 ,Anime
躍動,Maaya Sakamoto,249,2020,https://open.spotify.com/track/7fi2zDTlIUWMDPHrhm8Qsj ,Anime
